,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,name,mlb_id,babip
63,606466,2020,27,181,195,52,35,14,1,2,21,7,10.8,3.6,0.287,0.409,0.32299999999999995,0.732,3,0.261,0.375,0.316,0.301,0.305,0.114,89.2,10.0,3.7,Ketel Marte,606466,0.3105590062111801
64,608336,2020,27,193,226,35,17,8,0,10,79,29,35.0,12.8,0.18100000000000002,0.37799999999999995,0.301,0.679,0,0.19,0.41100000000000003,0.297,0.313,0.308,0.221,91.2,26.8,14.0,Joey Gallo,608336,0.2403846153846154
65,641313,2020,27,208,221,67,45,11,1,10,50,10,22.6,4.5,0.322,0.529,0.35700000000000004,0.8859999999999999,1,0.29100000000000004,0.506,0.376,0.35700000000000004,0.32899999999999996,0.214,87.2,6.7,10.1,Tim Anderson,641313,0.3825503355704698
66,641531,2020,29,158,186,36,24,4,2,6,48,27,25.8,14.5,0.228,0.392,0.344,0.736,0,0.233,0.381,0.326,0.32799999999999996,0.349,0.14800000000000002,86.4,17.0,8.2,Hunter Dozier,641531,0.28846153846153844
67,641786,2020,25,206,242,54,40,3,0,11,71,34,29.3,14.0,0.262,0.43700000000000006,0.364,0.8009999999999999,2,0.23800000000000002,0.431,0.349,0.34299999999999997,0.34600000000000003,0.193,88.3,11.1,11.7,Kyle Lewis,641786,0.3412698412698413
68,641857,2020,26,172,193,37,21,6,1,9,66,18,34.2,9.3,0.215,0.419,0.295,0.7140000000000001,1,0.201,0.384,0.311,0.297,0.28300000000000003,0.184,90.1,9.2,11.2,Ryan McMahon,641857,0.2857142857142857
69,642086,2020,25,177,199,56,24,21,1,10,45,14,22.6,7.0,0.316,0.616,0.377,0.993,3,0.301,0.563,0.41200000000000003,0.39,0.363,0.262,89.8,10.8,13.3,Dominic Smith,642086,0.368
70,642715,2020,25,185,205,48,24,15,1,8,74,20,36.1,9.8,0.259,0.48100000000000004,0.332,0.813,0,0.228,0.392,0.34700000000000003,0.305,0.303,0.16399999999999998,88.8,12.5,9.9,Willy Adames,642715,0.3883495145631068
71,643396,2020,25,211,228,59,49,4,3,3,32,14,14.0,6.1,0.28,0.37,0.32899999999999996,0.6990000000000001,1,0.26,0.34,0.307,0.294,0.312,0.08,87.2,0.8,2.2,Isiah Kiner-Falefa,643396,0.3163841807909605
72,646240,2020,24,232,248,61,33,16,1,11,67,13,27.0,5.2,0.263,0.483,0.31,0.7929999999999999,0,0.255,0.45799999999999996,0.337,0.327,0.303,0.204,93.0,10.6,12.1,Rafael Devers,646240,0.3246753246753247
