last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Seager, Corey,608369,2020,26,212,232,65,37,12,1,15,37,17,15.9,7.3,0.307,0.585,0.358,0.943,2,0.326,0.645,0.394,0.427,0.376,0.319,93.2,11.9,15.8,
Swanson, Dansby,621020,2020,26,237,264,65,40,15,0,10,71,22,26.9,8.3,0.274,0.464,0.345,0.809,1,0.266,0.472,0.348,0.352,0.34,0.206,89.1,14.7,11.4,
Cronenworth, Jake,630105,2020,26,172,192,49,27,15,3,4,30,18,15.6,9.4,0.285,0.477,0.354,0.831,1,0.321,0.538,0.356,0.396,0.387,0.217,89.8,10.6,10.5,
Robles, Victor,645302,2020,23,168,189,37,28,5,1,3,53,9,28,4.8,0.22,0.315,0.291,0.606,2,0.205,0.28,0.273,0.262,0.284,0.075,82.2,19,1.7,
Jimenez, Eloy,650391,2020,24,213,226,63,35,14,0,14,56,12,24.8,5.3,0.296,0.559,0.332,0.891,1,0.282,0.543,0.373,0.368,0.321,0.261,92.4,5.7,16.5,
White, Evan,657108,2020,24,182,202,32,17,7,0,8,84,18,41.6,8.9,0.176,0.346,0.252,0.599,1,0.189,0.384,0.261,0.29,0.269,0.194,91.7,13.7,14.1,
Laureano, Ramon,657656,2020,26,183,222,39,24,8,1,6,58,24,26.1,10.8,0.213,0.366,0.338,0.704,3,0.235,0.408,0.315,0.342,0.357,0.173,87.7,12.3,9.4,
Riley, Austin,663586,2020,23,188,206,45,29,7,1,8,49,16,23.8,7.8,0.239,0.415,0.301,0.716,1,0.257,0.461,0.307,0.333,0.317,0.204,91,13.6,10,
Lowe, Brandon,664040,2020,26,193,224,52,27,9,2,14,58,25,25.9,11.2,0.269,0.554,0.362,0.916,2,0.26,0.547,0.385,0.382,0.354,0.288,89.8,18.1,17.5,
Reynolds, Bryan,668804,2020,25,185,208,35,20,6,2,7,57,21,27.4,10.1,0.189,0.357,0.274,0.631,0,0.227,0.399,0.278,0.312,0.31,0.172,87.5,10.2,10.2,
Edman, Tommy,669242,2020,25,204,227,51,38,7,1,5,48,16,21.1,7,0.25,0.368,0.317,0.685,2,0.265,0.366,0.302,0.313,0.333,0.101,86.5,8.2,3.8,
Solak, Nick,669256,2020,25,209,233,56,44,10,0,2,42,18,18,7.7,0.268,0.344,0.326,0.671,4,0.264,0.388,0.297,0.318,0.326,0.124,89.9,9.4,4.7,
Cabrera, Miguel,408234,2020,37,204,231,51,37,4,0,10,51,24,22.1,10.4,0.25,0.417,0.329,0.746,2,0.285,0.514,0.323,0.375,0.363,0.228,93.2,12.1,9.7,
Longoria, Evan,446334,2020,35,193,209,49,31,10,1,7,39,11,18.7,5.3,0.254,0.425,0.297,0.722,3,0.28,0.521,0.308,0.362,0.327,0.241,91.7,10.7,11.5,
Martinez, J.D.,502110,2020,33,211,237,45,22,16,0,7,59,22,24.9,9.3,0.213,0.389,0.291,0.68,2,0.228,0.441,0.293,0.319,0.305,0.213,89.5,14.7,11,
